S.No,Hospital Name,Hospital Type,District,Mandal,Municipality,Mithra Name (Mobile Number),Specialities
1112,UPHC Malakpet,Government-DPH,Hyderabad,Saidabad,Ghmc,Dr.Jyothi (9866303093),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1113,UPHC Malapally,Government-DPH,Nizamabad,Nizamabad (South),Nizamabad,Dr Tarunum Naaz (),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; S19.1 - Liver Transplantation Surgery; S19.2 - Heart Transplantation Surgery; S19.3 - Renal Transplantation Surgery; S19.4 - Lung Transplantation Surgery; S19.5 - Allogenic Stem Cell Transplantation; S19.6 - Autologous Stem Cell Transplantation; S19.7 - Heart And Lung Transplantation Surgery; M15 - Medical Oncology; M16 - Radiation Oncology
1114,UPHC Mallapur,Government-DPH,Medchal-Malkajgiri,Uppal,Ghmc,Dr.Ch Pooja (9866840297),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1115,UPHC Mamillagudem,Government-DPH,Khammam,Khammam (Urban),Khammam,Dr Nelluri Chandana (9581568887); Dr Harinath Babu (8328433695),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1116,UPHC Mansoorabad,Government-DPH,Rangareddy,Hayathnagar,Ghmc,Pulendra Naidu (8497961243); Dr.Shalini (6302446437),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1117,UPHC Manyamchelka,Government-DPH,Nalgonda,Nalgonda,Nalgonda,Dr Md. Raffi (8340936364),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1118,UPHC Marksnagar,Government-DPH,Sangareddy,Sangareddy,Sangareddy,Dr.K Harshitha (9963337075),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1119,UPHC Medak,Government,Medak,Medak,Medak,Dr. Manikanta (8390270029),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1120,UPHC Mettuguda,Government-DPH,Hyderabad,Secunderabad,Ghmc,Dr Raj Kumar (9666364525),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1121,UPHC Miryalaguda,Government,Nalgonda,Miryalaguda,Miryalaguda,Dr Ch. Upendar (98859 26458),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1122,UPHC Mohammadguda,Government-DPH,Hyderabad,Secunderabad,Ghmc,Dr. G. Sudha Rani (7207406982),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1123,UPHC Moosapet,Government-DPH,Medchal-Malkajgiri,Kukatpally,Ghmc,Dr Rishitha (7997660003),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1124,UPHC Mothazkhana,Government-DPH,Karimnagar,Karimnagar,-,Dr.Varuna (8008963173),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1125,UPHC Mothinagar,Government-DPH,Mahabubnagar,Mahabubnagar Urban,Mahabubnagar,Dr.Pragathi (9666633813),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1126,UPHC Moulali,Government-DPH,Medchal-Malkajgiri,Malkajgiri,Ghmc,Dr M. Saritha (9989189133),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1127,UPHC Musheerabad,Government-DPH,Hyderabad,Secunderabad,Ghmc,Plv Krishna Mohan (8500120137); Mounika Vandana (9966513377),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1128,UPHC Mustafanagar,Government,Khammam,Khammam (Urban),Khammam,G Sowmya (8985210800); M Rangya Nayaki (9032047350),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1129,UPHC Nagole,Government-DPH,Medchal-Malkajgiri,Uppal,Ghmc,Dr.P.Praveen Kumar (9553473294),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1130,UPHC Nampally,Government-DPH,Hyderabad,Nampally,Ghmc,Dr Syeda Huma Kausar (8374715968),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1131,UPHC Nandanavanam,Government-DPH,Rangareddy,Saroornagar,Ghmc,Dr K Taruni (9398931318),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1132,UPHC Nasarpura,Government-DPH,Siddipet,Siddipet Urban,Siddipet,Dr .G.Srikanth Yadav (8106836019); Dr.R.Gourishankar (9912741865),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1133,UPHC Navegaon Basthi,Government-DPH,Komaram Bheem Asifabad,Kagaznagar,Kagaz Nagar,Dr. Seetharam (7893044538),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1134,UPHC Nayapool,Government-DPH,Hyderabad,Bahadurpura,Ghmc,Dr Khurram Saxena (8106815055),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
1135,UPHC Niloufer,Government-DPH,Hyderabad,Nampally,Ghmc,Dr Raj Kumar (9014902611),S1 - General Surgery; S2 - Ent Surgery; S3 - Ophthalmology Surgery; S4 - Gynaecology And Obstetrics Surgery; S5 - Orthopedic Surgery And Procedures; S6 - Surgical Gastro Enterology; S7 - Cardiac And Cardiothoracic Surgery; S8 - Pediatric Surgeries; S9 - Genito Urinary Surgeries; S10 - Neurosurgery; S11 - Surgical Oncology; S14 - Plastic Surgery; S15 - Poly Trauma; S16 - Cochlear Implant Surgery; S17 - Prostheses; S20 - Unspecified Surgical Package; M1 - Critical Care; M2 - General Medicine; M3 - Infectious Diseases; M4 - Pediatrics; M5 - Cardiology; M6 - Nephrology; M7 - Neurology; M8 - Pulmonology; M9 - Dermatology; M10 - Rheumatology; M11 - Endocrinology; M12 - Gastroenterology; M14 - Thalassemia; M15 - Medical Oncology; M16 - Radiation Oncology
